"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 22:51:07 IST 2023","Wed Jun 07 22:51:32 IST 2023","24395","firefox","","","","","View terms & conditions",""
"passed","Wed Jun 07 22:51:07 IST 2023","Wed Jun 07 22:51:29 IST 2023","21909","chromium","","","","","View terms & conditions",""
"passed","Wed Jun 07 22:51:33 IST 2023","Wed Jun 07 22:51:47 IST 2023","13836","webkit","","","","","View terms & conditions",""
